Account_ID,Customer_ID,Account_Type,Account_Balance,Account_Status,Account_Open_Date
ACC0445,CUST0445,Savings,80989.5,Inactive,2020-07-09
ACC0446,CUST0446,Savings,198064.71,Active,2019-08-18
ACC0447,CUST0447,Current,43963.57,Closed,2022-11-08
ACC0448,CUST0448,Savings,196854.45,Closed,2019-01-24
ACC0449,CUST0449,Savings,203706.33,Active,2020-10-18
ACC0450,CUST0450,Savings,183631.75,Active,2020-03-16
ACC0451,CUST0451,Savings,44838.22,Closed,2021-04-09
ACC0452,CUST0452,Current,98204.56,Active,2020-10-10
ACC0453,CUST0453,Savings,45929.4,Closed,2018-01-17
ACC0454,CUST0454,Current,55613.36,Active,2022-01-29
ACC0455,CUST0455,Savings,234203.6,Active,2020-03-31
ACC0456,CUST0456,Savings,186463.16,Active,2020-01-13
ACC0457,CUST0457,Savings,245603.72,Active,2020-10-29
ACC0458,CUST0458,Current,205504.62,Active,2021-10-25
ACC0459,CUST0459,Savings,111934.17,Active,2020-03-17
ACC0460,CUST0460,Savings,62760.45,Active,2022-03-27
ACC0461,CUST0461,Savings,64536.16,Active,2020-04-02
ACC0462,CUST0462,Savings,12512.79,Inactive,2018-10-08
ACC0463,CUST0463,Savings,242290.91,Inactive,2018-11-02
ACC0464,CUST0464,Savings,220501.78,Closed,2021-06-09
ACC0465,CUST0465,Savings,94149.22,Closed,2022-02-23
ACC0466,CUST0466,Current,162916.91,Active,2022-08-24
ACC0467,CUST0467,Savings,41082.8,Active,2019-09-06
ACC0468,CUST0468,Savings,74079.7,Active,2021-10-11
ACC0469,CUST0469,Savings,237939.7,Active,2022-06-20
ACC0470,CUST0470,Savings,42941.25,Active,2021-09-04
ACC0471,CUST0471,Current,183130.28,Active,2021-04-10
ACC0472,CUST0472,Current,84818.67,Inactive,2022-01-16
ACC0473,CUST0473,Savings,176273.91,Active,2019-05-12
ACC0474,CUST0474,Savings,152025.75,Active,2018-02-08
ACC0475,CUST0475,Savings,13862.16,Active,2020-04-25
ACC0476,CUST0476,Savings,243612.41,Closed,2020-08-23
ACC0477,CUST0477,Current,180648.51,Closed,2021-02-22
ACC0478,CUST0478,Savings,66683.56,Active,2019-10-05
ACC0479,CUST0479,Savings,59768.3,Inactive,2021-01-23
ACC0480,CUST0480,Savings,143156.57,Active,2019-01-29
ACC0481,CUST0481,Savings,14098.96,Inactive,2019-04-06
ACC0482,CUST0482,Current,22363.28,Closed,2019-10-12
ACC0483,CUST0483,Savings,120341.94,Active,2019-08-13
ACC0484,CUST0484,Current,52134.77,Active,2020-03-19
ACC0485,CUST0485,Savings,244275.9,Active,2019-08-13
ACC0486,CUST0486,Savings,77434.17,Inactive,2019-06-10
ACC0487,CUST0487,Current,122529.65,Active,2019-07-10
ACC0488,CUST0488,Current,23238.65,Inactive,2021-06-14
ACC0489,CUST0489,Savings,46627.86,Active,2021-10-03
ACC0490,CUST0490,Savings,47052.44,Active,2018-07-25
ACC0491,CUST0491,Savings,110215.24,Active,2021-10-27
ACC0492,CUST0492,Current,209351.15,Active,2020-04-13
ACC0493,CUST0493,Current,38207.1,Active,2019-10-20
ACC0494,CUST0494,Savings,21883.97,Closed,2021-03-21
ACC0495,CUST0495,Current,103789.67,Active,2020-05-05
ACC0496,CUST0496,Savings,138623.68,Closed,2019-01-17
ACC0497,CUST0497,Current,104948.7,Inactive,2021-03-09
ACC0498,CUST0498,Savings,143392.22,Inactive,2020-07-19
ACC0499,CUST0499,Savings,75063.6,Active,2022-10-09
ACC0500,CUST0500,Current,125774.32,Closed,2022-07-15
